Year at death,Sex,0~4Years,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85~89,90~94,95~99,100~
2009,Total,65,9.5,8.3,24.4,44.3,49,58.7,81.7,123.2,189.3,296.5,462.8,658.5,983.6,1592.2,2753.8,4771.5,8175.3,14466.5,21730.4,31143.8
2009,Male,70.9,10.1,9.3,32.3,59.5,63.7,76.3,104.6,160.1,248.1,400.6,649.8,945.6,1425,2294.4,4002,6855.8,11423.9,19206.3,27045,34142.9
2009,Female,58.8,8.8,7.1,16.2,28.2,33.6,40.6,58,85.4,129.8,192.5,279.8,383.8,580.2,987.1,1792.9,3436.6,6762.8,12925.5,20465.1,30631.7
2010,Total,64.4,8.6,9.4,23.6,43.7,48,58.9,78,117.5,182.4,289.3,454.3,657.4,1009.5,1577.8,2730.8,4841.7,8473.8,14806.4,25328.5,39892
2010,Male,69.6,9.2,11.6,30.4,60.8,66.2,76,98.8,151.3,238.2,384.5,631.5,934.9,1460.9,2270.9,3959.4,7046.3,12030.9,20252.2,31876.6,48813.8
2010,Female,58.8,8.1,7.1,16.4,25.7,29.2,41.2,56.5,82.8,125.7,194.1,279.7,389.6,596.3,980.2,1787.9,3434.2,6909.3,13117.6,23811.1,38518
2011,Total,68.9,13.8,12.4,29,48,52.6,62.3,83.4,122.2,191.1,297.3,454.2,682.1,1049.5,1581.8,2739.4,4912.1,8513.3,15016.1,25241.5,41640.4
2011,Male,69.6,14.5,14.7,36.6,62.9,67,78.2,102.6,153.1,239.9,391.4,615.5,960.1,1513.1,2263.2,3939.6,7067.4,11956.1,20409.5,31778,50600
2011,Female,68.2,13,10,20.8,32.4,37.6,45.8,63.6,90.5,141.5,202.9,295,414.2,624.9,990.9,1811.2,3520.6,6928.3,13372.7,23648.8,41337.5
2012,Total,60.8,9.3,8.7,22.9,40.7,46.8,53.2,73.4,111,171.2,273.8,421.4,662.5,982.2,1514.2,2637.5,4797.4,8472,14951.9,25357.3,41147.1
