Code,Site,ICD,ICD Code,Sex,Year at death,All ages,0-4 yrs.,5-9 yrs.,10-14 yrs.,15-19 yrs.,20-24 yrs.,25-29 yrs.,30-34 yrs.,35-39 yrs.,40-44 yrs.,45-49 yrs.,50-54 yrs.,55-59 yrs.,60-64 yrs.,65-69 yrs.,70-74 yrs.,75-79 yrs.,80-84 yrs.,85+ yrs.
1,All cancers,ICD-7,140-205,Both,1958,95.530774832000000 ,6.935702826100000 ,4.088050314500000 ,3.864003228400000 ,5.086580086600000 ,6.687601767900000 ,11.781466799000000 ,22.690140845000000 ,42.703979647000000 ,77.226924627000000 ,132.194397280000000 ,212.056737590000000 ,327.714610570000000 ,478.992805760000000 ,656.234954260000000 ,814.492753620000000 ,839.826839830000000 ,722.444444440000000 ,510.909090910000000 
1,All cancers,ICD-7,140-205,Both,1959,98.187606888000000 ,6.645846346000000 ,3.823953824000000 ,4.250817464900000 ,5.532489101100000 ,6.625867953400000 ,11.944682413000000 ,23.319727891000000 ,41.957681060000000 ,80.384930385000000 ,129.941496030000000 ,210.374357720000000 ,338.032878240000000 ,479.332161690000000 ,662.743236830000000 ,831.125827810000000 ,862.832800850000000 ,760.548523210000000 ,549.162011170000000 
1,All cancers,ICD-7,140-205,Both,1960,100.379474080000000 ,7.699727947200000 ,4.160947175000000 ,4.411148842900000 ,5.597012119400000 ,7.164796326200000 ,11.352894745000000 ,22.546474669000000 ,42.182632415000000 ,75.491170781000000 ,131.670763300000000 ,209.383085120000000 ,328.187878360000000 ,478.643697320000000 ,667.653520040000000 ,845.054751110000000 ,892.761747940000000 ,782.730237610000000 ,615.425531910000000 
1,All cancers,ICD-7,140-205,Both,1961,102.287744600000000 ,7.130926378000000 ,4.341864716600000 ,3.929409719200000 ,5.822613405600000 ,7.125191379100000 ,12.153492313000000 ,23.254299114000000 ,41.042906358000000 ,74.901960784000000 ,128.500823720000000 ,206.555504800000000 ,334.484664270000000 ,474.061990210000000 ,666.313932980000000 ,839.442724460000000 ,912.863070540000000 ,825.150905430000000 ,584.615384620000000 
1,All cancers,ICD-7,140-205,Both,1962,103.200319400000000 ,7.501913753500000 ,4.118773946400000 ,4.897885414800000 ,6.133044889100000 ,7.933600457900000 ,12.753623188000000 ,22.993630573000000 ,40.384902283000000 ,72.975047985000000 ,124.599589320000000 ,204.815229560000000 ,324.850299400000000 ,476.783479350000000 ,664.116888700000000 ,838.456901750000000 ,915.243902440000000 ,796.062992130000000 ,611.111111110000000 
1,All cancers,ICD-7,140-205,Both,1963,105.480677230000000 ,7.697184884600000 ,4.608123214500000 ,4.666475808800000 ,6.776389312200000 ,7.884465261500000 ,13.029355149000000 ,23.221020870000000 ,41.400911162000000 ,72.567841979000000 ,127.715819910000000 ,204.723198590000000 ,319.571619810000000 ,477.832361070000000 ,668.234323430000000 ,861.921921920000000 ,931.479642500000000 ,865.631067960000000 ,631.415929200000000 
1,All cancers,ICD-7,140-205,Both,1964,107.344679270000000 ,7.467940658800000 ,4.449205949100000 ,4.390394723300000 ,6.254826254800000 ,7.821645205900000 ,13.651877133000000 ,23.433412234000000 ,42.378006873000000 ,72.249388753000000 ,124.858520230000000 ,202.812635220000000 ,316.851612900000000 ,478.693951250000000 ,672.289156630000000 ,868.750000000000000 ,965.442561210000000 ,865.779467680000000 ,643.153526970000000 
1,All cancers,ICD-7,140-205,Both,1965,108.406046580000000 ,7.598220836000000 ,5.223401040500000 ,4.638801264100000 ,6.220115799200000 ,8.270214140100000 ,13.032308528000000 ,23.397393588000000 ,40.461215178000000 ,67.685420309000000 ,120.199658220000000 ,203.048605860000000 ,312.468062920000000 ,478.941437170000000 ,677.162139960000000 ,862.451929170000000 ,987.303748290000000 ,914.382446280000000 ,649.400015200000000 
1,All cancers,ICD-7,140-205,Both,1966,110.851437570000000 ,7.875000000000000 ,4.827320580300000 ,4.637581587100000 ,6.116742397800000 ,8.188556868200000 ,12.709069494000000 ,23.060370592000000 ,40.386120532000000 ,68.552465234000000 ,119.328913000000000 ,195.400593470000000 ,309.411764710000000 ,492.522522520000000 ,681.153990260000000 ,886.823400770000000 ,979.840142100000000 ,926.553672320000000 ,660.606060610000000 
1,All cancers,ICD-7,140-205,Both,1967,113.003201620000000 ,7.878048780500000 ,4.655349794200000 ,4.544903648000000 ,5.856142584300000 ,8.273782938800000 ,13.283790060000000 ,22.893291955000000 ,40.135880015000000 ,68.248450960000000 ,115.800865800000000 ,195.655877340000000 ,312.804733730000000 ,479.741252570000000 ,676.831468780000000 ,901.800847460000000 ,1002.583979300000000 ,938.878842680000000 ,689.818181820000000 
1,All cancers,ICD-8,140-209,Both,1968,114.552453520000000 ,7.713334918000000 ,4.908602837800000 ,4.539202200800000 ,6.092982962700000 ,7.885342293200000 ,12.666439058000000 ,22.645578720000000 ,39.265501195000000 ,67.325447201000000 ,114.802195720000000 ,192.324093820000000 ,309.519387040000000 ,474.070872950000000 ,678.069254980000000 ,900.101317120000000 ,1026.851851900000000 ,968.804159450000000 ,722.695035460000000 
1,All cancers,ICD-8,140-209,Both,1969,116.209248990000000 ,6.750028945200000 ,4.597993141100000 ,4.530498607900000 ,6.725480020800000 ,8.126612423100000 ,12.856986541000000 ,22.865482851000000 ,39.975108899000000 ,67.227007502000000 ,112.797140300000000 ,189.383783780000000 ,299.248804920000000 ,462.215435870000000 ,679.842842500000000 ,903.297244090000000 ,1059.639048400000000 ,1037.277147500000000 ,764.163822530000000 
