# INPUT DATA:
# Target = ,All solid-cancer incidence
# Sex    = ,Female
# Weight = ,0.5
# Baseline data = ,Linearly interporated values at each one year
# Exposure event,Dose,Age at exposure
#,Gy,Year
#0,0.1,10.0
#
# OUTPUT: APR-EAR
Age,Mean,Median,2.5th,97.5th
  1.000000,  0.000000,  0.000000,  0.000000,  0.000000
  2.000000,  0.000000,  0.000000,  0.000000,  0.000000
  3.000000,  0.000000,  0.000000,  0.000000,  0.000000
  4.000000,  0.000000,  0.000000,  0.000000,  0.000000
  5.000000,  0.000000,  0.000000,  0.000000,  0.000000
  6.000000,  0.000000,  0.000000,  0.000000,  0.000000
  7.000000,  0.000000,  0.000000,  0.000000,  0.000000
  8.000000,  0.000000,  0.000000,  0.000000,  0.000000
  9.000000,  0.000000,  0.000000,  0.000000,  0.000000
 10.000000,  0.000000,  0.000000,  0.000000,  0.000000
 11.000000,  0.000000,  0.000000,  0.000000,  0.000000
 12.000000,  0.000000,  0.000000,  0.000000,  0.000000
 13.000000,  0.000000,  0.000000,  0.000000,  0.000000
 14.000000,  0.000001,  0.000001,  0.000000,  0.000001
 15.000000,  0.000002,  0.000002,  0.000001,  0.000004
 16.000000,  0.000006,  0.000006,  0.000003,  0.000010
 17.000000,  0.000014,  0.000014,  0.000008,  0.000024
 18.000000,  0.000027,  0.000026,  0.000015,  0.000044
 19.000000,  0.000040,  0.000039,  0.000023,  0.000063
 20.000000,  0.000051,  0.000049,  0.000030,  0.000079
 21.000000,  0.000060,  0.000058,  0.000036,  0.000091
 22.000000,  0.000068,  0.000066,  0.000042,  0.000101
 23.000000,  0.000075,  0.000074,  0.000048,  0.000110
 24.000000,  0.000084,  0.000082,  0.000055,  0.000120
 25.000000,  0.000092,  0.000090,  0.000062,  0.000130
 26.000000,  0.000101,  0.000099,  0.000069,  0.000140
 27.000000,  0.000110,  0.000109,  0.000077,  0.000150
 28.000000,  0.000120,  0.000118,  0.000085,  0.000161
 29.000000,  0.000130,  0.000129,  0.000094,  0.000172
 30.000000,  0.000140,  0.000139,  0.000103,  0.000184
 31.000000,  0.000151,  0.000150,  0.000113,  0.000196
 32.000000,  0.000163,  0.000162,  0.000123,  0.000209
 33.000000,  0.000175,  0.000174,  0.000134,  0.000222
 34.000000,  0.000187,  0.000186,  0.000145,  0.000236
 35.000000,  0.000200,  0.000199,  0.000157,  0.000250
 36.000000,  0.000214,  0.000213,  0.000169,  0.000264
 37.000000,  0.000228,  0.000227,  0.000181,  0.000279
 38.000000,  0.000242,  0.000241,  0.000194,  0.000295
 39.000000,  0.000257,  0.000256,  0.000208,  0.000311
 40.000000,  0.000272,  0.000271,  0.000221,  0.000327
 41.000000,  0.000288,  0.000287,  0.000236,  0.000344
