# INPUT DATA:
# Target = ,All solid-cancer incidence
# Sex    = ,Female
# Weight = ,0.5
# Baseline data = ,Linearly interporated values at each one year
# Exposure event,Dose,Age at exposure
#,Gy,Year
#0,0.1,10.0
#
# OUTPUT: APR-ERR
Age,Mean,Median,2.5th,97.5th
  1.000000,  0.000000,  0.000000,  0.000000,  0.000000
  2.000000,  0.000000,  0.000000,  0.000000,  0.000000
  3.000000,  0.000000,  0.000000,  0.000000,  0.000000
  4.000000,  0.000000,  0.000000,  0.000000,  0.000000
  5.000000,  0.000000,  0.000000,  0.000000,  0.000000
  6.000000,  0.000000,  0.000000,  0.000000,  0.000000
  7.000000,  0.000000,  0.000000,  0.000000,  0.000000
  8.000000,  0.000000,  0.000000,  0.000000,  0.000000
  9.000000,  0.000000,  0.000000,  0.000000,  0.000000
 10.000000,  0.000000,  0.000000,  0.000000,  0.000000
 11.000000,  0.000000,  0.000000,  0.000000,  0.000001
 12.000000,  0.000001,  0.000001,  0.000000,  0.000001
 13.000000,  0.000001,  0.000001,  0.000001,  0.000003
 14.000000,  0.000004,  0.000003,  0.000002,  0.000007
 15.000000,  0.000009,  0.000008,  0.000004,  0.000017
 16.000000,  0.000021,  0.000019,  0.000010,  0.000039
 17.000000,  0.000041,  0.000039,  0.000020,  0.000075
 18.000000,  0.000066,  0.000063,  0.000034,  0.000117
 19.000000,  0.000095,  0.000091,  0.000050,  0.000165
 20.000000,  0.000115,  0.000111,  0.000063,  0.000195
 21.000000,  0.000127,  0.000123,  0.000072,  0.000210
 22.000000,  0.000135,  0.000131,  0.000078,  0.000217
 23.000000,  0.000140,  0.000136,  0.000083,  0.000220
 24.000000,  0.000160,  0.000155,  0.000098,  0.000245
 25.000000,  0.000176,  0.000172,  0.000111,  0.000265
 26.000000,  0.000190,  0.000186,  0.000122,  0.000281
 27.000000,  0.000201,  0.000198,  0.000133,  0.000293
 28.000000,  0.000211,  0.000208,  0.000143,  0.000302
 29.000000,  0.000237,  0.000233,  0.000164,  0.000333
 30.000000,  0.000259,  0.000256,  0.000182,  0.000358
 31.000000,  0.000279,  0.000275,  0.000200,  0.000379
 32.000000,  0.000296,  0.000292,  0.000215,  0.000396
 33.000000,  0.000310,  0.000307,  0.000230,  0.000410
 34.000000,  0.000339,  0.000336,  0.000255,  0.000443
 35.000000,  0.000365,  0.000362,  0.000278,  0.000471
 36.000000,  0.000387,  0.000385,  0.000298,  0.000494
 37.000000,  0.000407,  0.000404,  0.000316,  0.000515
 38.000000,  0.000425,  0.000422,  0.000333,  0.000532
 39.000000,  0.000462,  0.000459,  0.000366,  0.000574
 40.000000,  0.000494,  0.000492,  0.000395,  0.000611
 41.000000,  0.000524,  0.000521,  0.000421,  0.000644
