# INPUT DATA:
# Target = ,All solid-cancer incidence
# Sex    = ,Female
# Maximum attained age =,90
# Weight = ,0.5
# Baseline data = ,Linearly interporated values at each one year
# Exposure event,Dose
#,Gy
#0,0.1
#
# OUTPUT:
Agex,Mean,2.5-P,50-P,97.5-P
1,  0.047919,  0.037938,  0.047537,  0.060107
2,  0.046599,  0.037163,  0.046244,  0.058064
3,  0.045351,  0.036434,  0.045027,  0.056166
4,  0.044162,  0.035769,  0.043877,  0.054307
5,  0.043011,  0.035042,  0.042758,  0.052596
6,  0.041892,  0.034320,  0.041648,  0.050905
7,  0.040803,  0.033648,  0.040598,  0.049285
8,  0.039741,  0.032945,  0.039555,  0.047699
9,  0.038705,  0.032273,  0.038544,  0.046162
10,  0.037696,  0.031651,  0.037541,  0.044660
11,  0.036712,  0.031012,  0.036562,  0.043217
12,  0.035751,  0.030357,  0.035608,  0.041830
13,  0.034811,  0.029717,  0.034682,  0.040492
14,  0.033892,  0.029097,  0.033771,  0.039213
15,  0.032992,  0.028428,  0.032883,  0.037998
16,  0.032111,  0.027775,  0.032012,  0.036791
17,  0.031247,  0.027141,  0.031162,  0.035658
18,  0.030399,  0.026473,  0.030328,  0.034540
19,  0.029566,  0.025819,  0.029504,  0.033477
20,  0.028748,  0.025174,  0.028689,  0.032479
21,  0.027944,  0.024566,  0.027898,  0.031500
22,  0.027154,  0.023886,  0.027118,  0.030554
23,  0.026376,  0.023208,  0.026361,  0.029637
24,  0.025610,  0.022520,  0.025591,  0.028764
25,  0.024857,  0.021855,  0.024848,  0.027916
26,  0.024116,  0.021186,  0.024115,  0.027074
27,  0.023386,  0.020518,  0.023389,  0.026302
28,  0.022666,  0.019821,  0.022672,  0.025544
29,  0.021957,  0.019160,  0.021966,  0.024805
30,  0.021259,  0.018478,  0.021264,  0.024077
31,  0.020572,  0.017817,  0.020579,  0.023373
32,  0.019894,  0.017190,  0.019896,  0.022665
33,  0.019225,  0.016547,  0.019227,  0.022000
34,  0.018565,  0.015912,  0.018563,  0.021318
35,  0.017915,  0.015279,  0.017902,  0.020656
36,  0.017276,  0.014667,  0.017259,  0.020015
37,  0.016647,  0.014054,  0.016625,  0.019387
38,  0.016030,  0.013442,  0.016002,  0.018780
39,  0.015423,  0.012865,  0.015394,  0.018164
40,  0.014830,  0.012296,  0.014790,  0.017567
41,  0.014251,  0.011745,  0.014209,  0.016978
42,  0.013688,  0.011216,  0.013645,  0.016409
43,  0.013140,  0.010700,  0.013093,  0.015841
44,  0.012607,  0.010205,  0.012556,  0.015283
45,  0.012091,  0.009713,  0.012037,  0.014743
46,  0.011590,  0.009259,  0.011534,  0.014225
47,  0.011105,  0.008813,  0.011047,  0.013711
48,  0.010634,  0.008385,  0.010572,  0.013220
49,  0.010178,  0.007971,  0.010114,  0.012724
50,  0.009734,  0.007567,  0.009668,  0.012243
51,  0.009302,  0.007182,  0.009233,  0.011773
52,  0.008882,  0.006812,  0.008812,  0.011308
53,  0.008472,  0.006456,  0.008401,  0.010866
54,  0.008071,  0.006108,  0.007999,  0.010429
55,  0.007681,  0.005772,  0.007605,  0.009987
56,  0.007299,  0.005447,  0.007222,  0.009551
57,  0.006925,  0.005131,  0.006848,  0.009125
58,  0.006559,  0.004826,  0.006481,  0.008703
59,  0.006200,  0.004528,  0.006124,  0.008285
60,  0.005849,  0.004239,  0.005771,  0.007869
61,  0.005507,  0.003962,  0.005429,  0.007462
62,  0.005172,  0.003691,  0.005096,  0.007057
63,  0.004845,  0.003431,  0.004771,  0.006658
64,  0.004527,  0.003182,  0.004454,  0.006264
65,  0.004217,  0.002941,  0.004146,  0.005879
66,  0.003915,  0.002707,  0.003846,  0.005498
67,  0.003622,  0.002484,  0.003556,  0.005123
68,  0.003337,  0.002272,  0.003272,  0.004752
69,  0.003059,  0.002067,  0.002998,  0.004383
70,  0.002790,  0.001873,  0.002733,  0.004022
71,  0.002529,  0.001683,  0.002475,  0.003671
72,  0.002275,  0.001501,  0.002225,  0.003326
73,  0.002029,  0.001331,  0.001982,  0.002983
74,  0.001790,  0.001165,  0.001747,  0.002651
75,  0.001560,  0.001006,  0.001521,  0.002324
76,  0.001337,  0.000857,  0.001303,  0.002006
77,  0.001124,  0.000715,  0.001094,  0.001698
78,  0.000919,  0.000580,  0.000894,  0.001399
79,  0.000723,  0.000452,  0.000703,  0.001109
80,  0.000539,  0.000334,  0.000524,  0.000834
81,  0.000371,  0.000228,  0.000360,  0.000578
82,  0.000227,  0.000138,  0.000220,  0.000357
83,  0.000119,  0.000072,  0.000115,  0.000188
84,  0.000054,  0.000032,  0.000052,  0.000086
85,  0.000022,  0.000013,  0.000021,  0.000035
