# INPUT DATA:
# Target = ,All solid-cancer incidence
# Sex    = ,Female
# Maximum attained age =,90
# Weight = ,0.5
# Baseline data = ,Linearly interporated values at each one year
# Exposure event,Dose
#,Gy
#0,0.1
#
# OUTPUT:
Agex,Mean,2.5-P,50-P,97.5-P
1,  0.030258,  0.022676,  0.029941,  0.039427
2,  0.029440,  0.022179,  0.029154,  0.038174
3,  0.028669,  0.021751,  0.028403,  0.037029
4,  0.027933,  0.021320,  0.027700,  0.035897
5,  0.027219,  0.020900,  0.027006,  0.034772
6,  0.026524,  0.020504,  0.026332,  0.033674
7,  0.025846,  0.020099,  0.025668,  0.032633
8,  0.025185,  0.019691,  0.025022,  0.031621
9,  0.024539,  0.019290,  0.024388,  0.030645
10,  0.023911,  0.018868,  0.023777,  0.029737
11,  0.023300,  0.018474,  0.023181,  0.028840
12,  0.022704,  0.018093,  0.022599,  0.028034
13,  0.022123,  0.017695,  0.022012,  0.027209
14,  0.021556,  0.017307,  0.021445,  0.026422
15,  0.021003,  0.016933,  0.020903,  0.025613
16,  0.020464,  0.016552,  0.020376,  0.024880
17,  0.019937,  0.016183,  0.019863,  0.024143
18,  0.019422,  0.015804,  0.019350,  0.023461
19,  0.018919,  0.015424,  0.018851,  0.022814
20,  0.018428,  0.015040,  0.018372,  0.022186
21,  0.017947,  0.014674,  0.017889,  0.021578
22,  0.017478,  0.014299,  0.017428,  0.020965
23,  0.017018,  0.013946,  0.016977,  0.020376
24,  0.016569,  0.013576,  0.016531,  0.019814
25,  0.016130,  0.013215,  0.016096,  0.019294
26,  0.015699,  0.012847,  0.015674,  0.018776
27,  0.015278,  0.012482,  0.015254,  0.018285
28,  0.014865,  0.012119,  0.014839,  0.017818
29,  0.014461,  0.011751,  0.014429,  0.017351
30,  0.014065,  0.011404,  0.014032,  0.016922
31,  0.013678,  0.011065,  0.013643,  0.016502
32,  0.013298,  0.010717,  0.013266,  0.016088
33,  0.012925,  0.010384,  0.012886,  0.015667
34,  0.012559,  0.010049,  0.012512,  0.015275
35,  0.012199,  0.009725,  0.012154,  0.014919
36,  0.011847,  0.009423,  0.011797,  0.014546
37,  0.011500,  0.009112,  0.011449,  0.014200
38,  0.011158,  0.008798,  0.011104,  0.013837
39,  0.010822,  0.008480,  0.010770,  0.013486
40,  0.010492,  0.008177,  0.010437,  0.013141
41,  0.010167,  0.007875,  0.010113,  0.012797
42,  0.009846,  0.007588,  0.009785,  0.012468
43,  0.009528,  0.007307,  0.009461,  0.012128
44,  0.009214,  0.007031,  0.009147,  0.011801
45,  0.008904,  0.006759,  0.008838,  0.011473
46,  0.008597,  0.006482,  0.008525,  0.011138
47,  0.008292,  0.006217,  0.008216,  0.010809
48,  0.007988,  0.005949,  0.007908,  0.010492
49,  0.007684,  0.005678,  0.007605,  0.010171
50,  0.007383,  0.005420,  0.007302,  0.009847
51,  0.007084,  0.005161,  0.007000,  0.009511
52,  0.006786,  0.004907,  0.006702,  0.009183
53,  0.006489,  0.004661,  0.006404,  0.008849
54,  0.006192,  0.004414,  0.006106,  0.008516
55,  0.005898,  0.004174,  0.005814,  0.008169
56,  0.005607,  0.003940,  0.005521,  0.007822
57,  0.005318,  0.003711,  0.005231,  0.007473
58,  0.005031,  0.003485,  0.004945,  0.007116
59,  0.004746,  0.003261,  0.004659,  0.006753
60,  0.004466,  0.003045,  0.004379,  0.006398
61,  0.004191,  0.002835,  0.004107,  0.006053
62,  0.003922,  0.002634,  0.003840,  0.005711
63,  0.003659,  0.002437,  0.003578,  0.005364
64,  0.003402,  0.002249,  0.003322,  0.005021
65,  0.003153,  0.002068,  0.003078,  0.004688
66,  0.002912,  0.001895,  0.002841,  0.004361
67,  0.002680,  0.001732,  0.002610,  0.004044
68,  0.002456,  0.001576,  0.002389,  0.003728
69,  0.002240,  0.001424,  0.002177,  0.003424
70,  0.002032,  0.001281,  0.001973,  0.003126
71,  0.001832,  0.001146,  0.001779,  0.002836
72,  0.001640,  0.001017,  0.001591,  0.002555
73,  0.001456,  0.000897,  0.001411,  0.002283
74,  0.001279,  0.000783,  0.001239,  0.002019
75,  0.001111,  0.000675,  0.001075,  0.001766
76,  0.000951,  0.000574,  0.000919,  0.001519
77,  0.000799,  0.000477,  0.000771,  0.001284
78,  0.000653,  0.000387,  0.000630,  0.001056
79,  0.000516,  0.000303,  0.000497,  0.000838
80,  0.000387,  0.000226,  0.000373,  0.000633
81,  0.000269,  0.000156,  0.000259,  0.000444
82,  0.000168,  0.000096,  0.000161,  0.000278
83,  0.000090,  0.000051,  0.000087,  0.000151
84,  0.000042,  0.000024,  0.000040,  0.000071
85,  0.000018,  0.000010,  0.000017,  0.000030
